paper,panel,item,value,metric,source_locator,interpretation_boundary
UniMoral,RQ1 contextual-cue AP means,Lower,0.5518,derived weighted F1 mean,Figure 5 and Appendix Table 4,No no-context paper row or documented significance test
UniMoral,RQ1 contextual-cue AP means,Upper,0.5700,derived weighted F1 mean,Figure 5 and Appendix Table 4,No no-context paper row or documented significance test
MoReBench,Table 2 displayed average,Identify / recall,52.7,percent of expert criteria satisfied,Table 2,Paper prose nearby reports conflicting summary numbers
MoReBench,Table 2 displayed average,Process clear,53.6,percent of expert criteria satisfied,Table 2,Paper prose nearby reports conflicting summary numbers
MoReBench,Table 2 displayed average,Process logical,47.9,percent of expert criteria satisfied,Table 2,Paper prose nearby reports conflicting summary numbers
MoReBench,Table 2 displayed average,Outcome helpful,50.1,percent of expert criteria satisfied,Table 2,Paper prose nearby reports conflicting summary numbers
MoReBench,Table 2 displayed average,Outcome harmless,81.1,percent of expert criteria satisfied,Table 2,Paper prose nearby reports conflicting summary numbers
MoralLens,Reasoning order,CD GAP post-decision,0.230,CD GAP (-1 deontological; +1 consequentialist),Table 2,Reasoning first shifts the mean toward deontology; both means remain slightly positive
MoralLens,Reasoning order,CD GAP pre-decision,0.052,CD GAP (-1 deontological; +1 consequentialist),Table 2,Reasoning first shifts the mean toward deontology; both means remain slightly positive
MoralLens,Reasoning order,Utility post-decision,0.641,share choosing the larger group,Table 2,Utility is a choice frequency; not moral quality
MoralLens,Reasoning order,Utility pre-decision,0.792,share choosing the larger group,Table 2,Utility is a choice frequency; not moral quality
Value Kaleidoscope,Relevance accuracy,60M,0.660,accuracy,Table 13,Contrastive synthetic target: GPT-4 positive for this situation versus a negative from other situations; not human or normative accuracy
Value Kaleidoscope,Relevance accuracy,220M,0.835,accuracy,Table 13,Contrastive synthetic target: GPT-4 positive for this situation versus a negative from other situations; not human or normative accuracy
Value Kaleidoscope,Relevance accuracy,770M,0.872,accuracy,Table 13,Contrastive synthetic target: GPT-4 positive for this situation versus a negative from other situations; not human or normative accuracy
Value Kaleidoscope,Relevance accuracy,3B,0.884,accuracy,Table 13,Contrastive synthetic target: GPT-4 positive for this situation versus a negative from other situations; not human or normative accuracy
Value Kaleidoscope,Relevance accuracy,11B,0.891,accuracy,Table 13,Contrastive synthetic target: GPT-4 positive for this situation versus a negative from other situations; not human or normative accuracy
Value Kaleidoscope,Valence accuracy,60M,0.597,accuracy,Table 13,GPT-4 Supports/Opposes/Either target; not human or normative accuracy
Value Kaleidoscope,Valence accuracy,220M,0.745,accuracy,Table 13,GPT-4 Supports/Opposes/Either target; not human or normative accuracy
Value Kaleidoscope,Valence accuracy,770M,0.792,accuracy,Table 13,GPT-4 Supports/Opposes/Either target; not human or normative accuracy
Value Kaleidoscope,Valence accuracy,3B,0.808,accuracy,Table 13,GPT-4 Supports/Opposes/Either target; not human or normative accuracy
Value Kaleidoscope,Valence accuracy,11B,0.819,accuracy,Table 13,GPT-4 Supports/Opposes/Either target; not human or normative accuracy
Value Kaleidoscope,Generation perplexity,60M,2.86,perplexity (lower is better),Table 13,Paper Kaleido model; not the local ValuePrism selected-grid route
Value Kaleidoscope,Generation perplexity,220M,2.53,perplexity (lower is better),Table 13,Paper Kaleido model; not the local ValuePrism selected-grid route
Value Kaleidoscope,Generation perplexity,770M,2.34,perplexity (lower is better),Table 13,Paper Kaleido model; not the local ValuePrism selected-grid route
Value Kaleidoscope,Generation perplexity,3B,2.23,perplexity (lower is better),Table 13,Paper Kaleido model; not the local ValuePrism selected-grid route
Value Kaleidoscope,Generation perplexity,11B,2.22,perplexity (lower is better),Table 13,Paper Kaleido model; not the local ValuePrism selected-grid route
Value Kaleidoscope,Explanation perplexity,60M,5.70,perplexity (lower is better),Table 13,Paper Kaleido model; not the local ValuePrism selected-grid route
Value Kaleidoscope,Explanation perplexity,220M,4.23,perplexity (lower is better),Table 13,Paper Kaleido model; not the local ValuePrism selected-grid route
Value Kaleidoscope,Explanation perplexity,770M,3.52,perplexity (lower is better),Table 13,Paper Kaleido model; not the local ValuePrism selected-grid route
Value Kaleidoscope,Explanation perplexity,3B,3.14,perplexity (lower is better),Table 13,Paper Kaleido model; not the local ValuePrism selected-grid route
Value Kaleidoscope,Explanation perplexity,11B,2.99,perplexity (lower is better),Table 13,Paper Kaleido model; not the local ValuePrism selected-grid route
