model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method,error
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1195117327084624,1782,309888,912384,0.280259,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-32b/unimoral_consequence_generation/2026-05-28T01-37-38-00-00_unimoral-consequence-generation_LEAA7R2iZ89mtKFpzTPLVy.eval,mean,1782,1782,493363,86470,2242,0.064308,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.6689102564102564,43680,1428299,1048320,0.407794,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-32b/value_prism_relevance/2026-05-28T01-40-12-00-00_value-prism-relevance_LADKVpfNmN2zyhmTZYxPdx.eval,accuracy,43680,43680,2090233,175117,54902,0.231624,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.6367673992673992,21840,954173,698880,0.272020,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-32b/value_prism_valence/2026-05-28T02-02-25-00-00_value-prism-valence_6MYSzUd3wT5MjcrtQnuDf7.eval,accuracy,21840,21840,1285709,94564,27053,0.136909,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,2182,761659,174560,0.109810,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-32b/ccd_bench_selection/2026-05-28T02-12-25-00-00_ccd-bench-selection_EhWvwLHK6U8fYNrxk2oyDq.eval,mean,2182,2182,803214,116193,2866,0.097594,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6342213114754098,8784,1721258,562176,0.178427,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-235b-a22b-2507/unimoral_action_prediction/2026-05-28T02-15-50-00-00_unimoral-action-prediction_37JKMwkHxfks2WHQ8FhYt5.eval,accuracy,8784,8784,2740978,58526,0,0.200462,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5211912943871707,3492,846863,1787904,0.238918,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-235b-a22b-2507/unimoral_moral_typology/2026-05-28T02-25-33-00-00_unimoral-moral-typology_L3MkqdFTnfkWJ2P9VeKGxN.eval,accuracy,3492,3492,1274826,33261,0,0.093839,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.563573883161512,3492,936335,1787904,0.245270,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-235b-a22b-2507/unimoral_factor_attribution/2026-05-28T02-30-02-00-00_unimoral-factor-attribution_eYqhdNRMFPXVLE3QN8RpAX.eval,accuracy,3492,3492,1392524,21030,0,0.100972,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.13270194156533718,1782,309888,912384,0.113240,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-235b-a22b-2507/unimoral_consequence_generation/2026-05-28T02-33-13-00-00_unimoral-consequence-generation_YNKhqzu5ixqppae9MURcNg.eval,mean,1782,1782,507172,107946,0,0.046804,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.6261904761904762,43680,1428299,1048320,0.206241,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-235b-a22b-2507/value_prism_relevance/2026-05-28T02-38-38-00-00_value-prism-relevance_PDmwUiFnGmHjvpmqjy2YjZ.eval,accuracy,43680,43680,2037331,290942,0,0.173745,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.137634,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,cancelled,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-235b-a22b-2507/value_prism_valence/2026-05-28T03-34-30-00-00_value-prism-valence_Ui9skMf6ZrY9gVcMgyBtvf.eval,,,,1020086,168692,0,0.089295,input + output + reasoning tokens at OpenRouter metadata rates,subprocess exited 2; see eval log
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.071534,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",error,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-235b-a22b-2507/ccd_bench_selection/2026-07-06T19-25-18-00-00_ccd-bench-selection_bS9nnB28zNY5asukPxDUit.eval,,,,479496,62657,0,0.040310,input + output + reasoning tokens at OpenRouter metadata rates,subprocess exited 2; OpenRouter returned 402 insufficient credits after partial progress; see eval log
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6344489981785064,8784,1721258,562176,0.113824,0.04,0.08,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/unimoral_action_prediction/2026-05-28T08-52-21-00-00_unimoral-action-prediction_DgWruvCr5T7VLP49EvQ2wy.eval,accuracy,8784,8784,1708074,53472,0,0.072601,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5970790378006873,3492,846863,1787904,0.176907,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/unimoral_moral_typology/2026-05-28T08-57-03-00-00_unimoral-moral-typology_iapLXbStVHp9uqRtc3oNjA.eval,accuracy,3492,3492,849104,28354,0,0.036232,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5784650630011455,3492,936335,1787904,0.180486,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/unimoral_factor_attribution/2026-05-28T08-58-12-00-00_unimoral-factor-attribution_JQxLrxfFb8LwX8cKt4moFB.eval,accuracy,3492,3492,912362,15412,0,0.037727,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0961731287001293,1782,309888,912384,0.085386,0.04,0.08,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/unimoral_consequence_generation/2026-05-28T08-59-11-00-00_unimoral-consequence-generation_8Ko3XPng7h4oJ6X37jVKZH.eval,mean,1782,1782,309648,46737,0,0.016125,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.6061355311355311,43680,1428299,1048320,0.140998,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/value_prism_relevance/2026-05-28T09-00-12-00-00_value-prism-relevance_TuSNtUhxufSG6WWWEbXzfK.eval,accuracy,43680,43680,1829798,131050,0,0.083676,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.5785256410256411,21840,954173,698880,0.094077,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/value_prism_valence/2026-05-28T09-14-21-00-00_value-prism-valence_6aVcJriRuVakc8qCxe3h6b.eval,accuracy,21840,21840,1154977,69114,0,0.051728,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,2182,761659,174560,0.044431,0.04,0.08,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/ccd_bench_selection/2026-05-28T09-22-41-00-00_ccd-bench-selection_X7GAYZWGmqMQbqUZmW4UMG.eval,mean,2182,2182,829811,131137,0,0.043683,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6606329690346083,8784,1721258,562176,0.141933,0.04,0.13,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/unimoral_action_prediction/2026-05-28T09-25-28-00-00_unimoral-action-prediction_MQWyeVnA76EjNTHjMp3Us8.eval,accuracy,8784,8784,1708119,52649,0,0.075169,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5790378006872853,3492,846863,1787904,0.266302,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/unimoral_moral_typology/2026-05-28T09-28-09-00-00_unimoral-moral-typology_2vcm4SeWABpwvLw9J8RuVS.eval,accuracy,3492,3492,849125,31652,0,0.038080,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.6005154639175257,3492,936335,1787904,0.269881,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/unimoral_factor_attribution/2026-05-28T09-29-25-00-00_unimoral-factor-attribution_HLfB7RHWEZnSUQR2yGZ94i.eval,accuracy,3492,3492,912362,23318,0,0.039526,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.10037282344179461,1782,309888,912384,0.131005,0.04,0.13,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/unimoral_consequence_generation/2026-05-28T09-30-39-00-00_unimoral-consequence-generation_3ZTnWHeY3y9TLZCxzbH5vQ.eval,mean,1782,1782,309648,51443,0,0.019074,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.6757326007326008,43680,1428299,1048320,0.193414,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/value_prism_relevance/2026-05-28T09-32-02-00-00_value-prism-relevance_LEuC7uFG8Pe9jB5HstifPQ.eval,accuracy,43680,43680,1948986,129292,0,0.094767,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.129021,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,cancelled,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/value_prism_valence/2026-05-28T09-44-42-00-00_value-prism-valence_eaHT7mToR5ACTjTScuz66C.eval,,,,541170,28326,0,0.025329,input + output + reasoning tokens at OpenRouter metadata rates,subprocess exited 2; see eval log
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,2182,761659,174560,0.053159,0.04,0.13,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/ccd_bench_selection/2026-05-28T10-25-03-00-00_ccd-bench-selection_JU5BiUXrwGkDyEMDBZTHns.eval,mean,2182,2182,829811,113766,0,0.047982,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6466302367941712,8784,1721258,562176,0.227649,0.08,0.16,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/unimoral_action_prediction/2026-05-28T10-27-48-00-00_unimoral-action-prediction_2w2mWVbEMoaeCMPZces5jh.eval,accuracy,8784,8784,1610728,59889,0,0.138440,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5701603665521191,3492,846863,1787904,0.353814,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/unimoral_moral_typology/2026-05-28T10-33-50-00-00_unimoral-moral-typology_ZJAuKSkEqbT9ywRdZz9noJ.eval,accuracy,3492,3492,808714,33102,0,0.069993,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.6125429553264605,3492,936335,1787904,0.360971,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/unimoral_factor_attribution/2026-05-28T10-36-40-00-00_unimoral-factor-attribution_CNaf2jN7LyiDrVJHDUewR3.eval,accuracy,3492,3492,871764,24302,0,0.073629,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.09153179394598114,1782,309888,912384,0.170772,0.08,0.16,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/unimoral_consequence_generation/2026-05-28T10-39-25-00-00_unimoral-consequence-generation_hKTGSSL9AV487YQTkNqbMh.eval,mean,1782,1782,302948,55567,0,0.033127,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.6546932234432234,43680,1428299,1048320,0.281995,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/value_prism_relevance/2026-05-28T10-42-36-00-00_value-prism-relevance_F22Pjn6xGBB9fTdgkTtoxw.eval,accuracy,43680,43680,1724777,185436,0,0.167652,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.188155,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,cancelled,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/value_prism_valence/2026-05-28T11-03-56-00-00_value-prism-valence_XFR6LXsUiu5eq2okUPWT69.eval,,,,519104,248078,0,0.081221,input + output + reasoning tokens at OpenRouter metadata rates,subprocess exited 2; see eval log
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,2182,761659,174560,0.088862,0.08,0.16,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/ccd_bench_selection/2026-05-28T11-31-10-00-00_ccd-bench-selection_JnAc5bns5iMCT2SiFm349d.eval,mean,2182,2182,763293,119539,0,0.080190,input + output + reasoning tokens at OpenRouter metadata rates,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6247723132969034,8784,1721258,562176,0.275941,0.0509,0.335,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.2-3b-instruct/unimoral_action_prediction/2026-05-28T11-35-29-00-00_unimoral-action-prediction_ZBeRiKjZ7xp5VpNkyfe38j.eval,accuracy,8784,8784,2467336,53596,0,0.143542,input + output + reasoning tokens at OpenRouter metadata rates,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5214776632302406,3492,846863,1787904,0.642053,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.2-3b-instruct/unimoral_moral_typology/2026-05-28T11-43-32-00-00_unimoral-moral-typology_7Er3gKVTDVAYPC9RXBuctf.eval,accuracy,3492,3492,1156238,44983,0,0.073922,input + output + reasoning tokens at OpenRouter metadata rates,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.606815578465063,3492,936335,1787904,0.646607,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.2-3b-instruct/unimoral_factor_attribution/2026-05-28T11-45-36-00-00_unimoral-factor-attribution_3FiXXWtYqqQyL8wYV7hRCd.eval,accuracy,3492,3492,1251266,28328,0,0.073179,input + output + reasoning tokens at OpenRouter metadata rates,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.12833579579109364,1782,309888,912384,0.321422,0.0509,0.335,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.2-3b-instruct/unimoral_consequence_generation/2026-05-28T11-47-08-00-00_unimoral-consequence-generation_6yVoDqBgXGqUrwd3doRSP6.eval,mean,1782,1782,451102,109858,0,0.059764,input + output + reasoning tokens at OpenRouter metadata rates,
