model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method,error,task_label,evidence_status,source_repository_head,source_path
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5922107674684994,3492,936335,1787904,0.911784,0.252,0.378,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-v3.2/unimoral_factor_attribution/2026-05-28T23-03-28-00-00_unimoral-factor-attribution_cCYTRRM46QpvJnc5Lkw3qu.eval,accuracy,3492.0,3492.0,967077,19732,0,0.251162,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5916380297823597,3492,936335,1787904,0.451214,0.1,0.2,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-v4-flash/unimoral_factor_attribution/2026-05-29T02-13-54-00-00_unimoral-factor-attribution_PnYv3jDW4rLTDW27hcWeCR.eval,accuracy,3492.0,3492.0,1064330,119882,93589,0.149127,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.5821878579610539,3492,846863,1787904,1.546059,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3-0324/unimoral_moral_typology/2026-05-28T18-41-20-00-00_unimoral-moral-typology_hWGmU3oveZ4TRDsjdswzU3.eval,accuracy,3492.0,3492.0,949574,29775,0,0.212842,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.5664375715922108,3492,846863,1787904,1.590285,0.21,0.79,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3.1/unimoral_moral_typology/2026-05-28T21-02-38-00-00_unimoral-moral-typology_AjtRry3hnEuStuswHxA7vu.eval,accuracy,3492.0,3492.0,1041644,26448,0,0.239639,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.5693012600229095,3492,846863,1787904,0.889237,0.252,0.378,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-v3.2/unimoral_moral_typology/2026-05-28T22-55-47-00-00_unimoral-moral-typology_MHXrR5L2x2LRJSabXqnpL8.eval,accuracy,3492.0,3492.0,888759,26298,0,0.233908,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.5790378006872853,3492,846863,1787904,0.442267,0.1,0.2,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-v4-flash/unimoral_moral_typology/2026-05-29T02-04-52-00-00_unimoral-moral-typology_X7DFWnHWNJZ9FtHnPWLbvR.eval,accuracy,3492.0,3492.0,985630,204251,174493,0.174312,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,0.6530448717948718,43680,1428299,1048320,1.092866,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3-0324/value_prism_relevance/2026-05-28T18-56-38-00-00_value-prism-relevance_YLBgfY4dRerMMYYyr8wPXv.eval,accuracy,43680.0,43680.0,1547089,63750,0,0.358505,input + output + reasoning tokens at OpenRouter metadata rates,,ValuePrism relevance,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,ValuePrism,value_prism_relevance,accuracy,0.6805631868131868,43680,1428299,1048320,1.128116,0.21,0.79,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3.1/value_prism_relevance/2026-05-28T21-16-05-00-00_value-prism-relevance_kgiqysfHum76day4VAac58.eval,accuracy,43680.0,43680.0,1853088,73089,0,0.446889,input + output + reasoning tokens at OpenRouter metadata rates,,ValuePrism relevance,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,ValuePrism,value_prism_relevance,accuracy,0.6750228937728938,43680,1428299,1048320,0.756196,0.252,0.378,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-v3.2/value_prism_relevance/2026-05-28T23-22-15-00-00_value-prism-relevance_dizVhLSeopMQagQmu9Gw87.eval,accuracy,43680.0,43680.0,1794687,67191,0,0.477659,input + output + reasoning tokens at OpenRouter metadata rates,,ValuePrism relevance,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,0.688507326007326,21840,954173,698880,0.728972,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3-0324/value_prism_valence/2026-05-28T19-56-47-00-00_value-prism-valence_DddtdCyRVu3MdEXthbWJZP.eval,accuracy,21840.0,21840.0,1045183,276341,0,0.421819,input + output + reasoning tokens at OpenRouter metadata rates,,ValuePrism valence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,ValuePrism,value_prism_valence,accuracy,0.5831959706959707,21840,954173,698880,0.752492,0.21,0.79,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3.1/value_prism_valence/2026-05-28T22-08-57-00-00_value-prism-valence_d9vW9m6ewJ3fk5hkUVC5Hu.eval,accuracy,21840.0,21840.0,1173655,55132,0,0.290022,input + output + reasoning tokens at OpenRouter metadata rates,,ValuePrism valence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,ValuePrism,value_prism_valence,accuracy,0.5350274725274725,21840,954173,698880,0.504628,0.252,0.378,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-v3.2/value_prism_valence/2026-05-29T00-56-10-00-00_value-prism-valence_R2SmyPiWKkmz4PM5BjegLx.eval,accuracy,21840.0,21840.0,1175032,51120,0,0.315431,input + output + reasoning tokens at OpenRouter metadata rates,,ValuePrism valence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,ValuePrism,value_prism_valence,accuracy,0.6266483516483516,21840,954173,698880,0.235193,0.1,0.2,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-v4-flash/value_prism_valence/2026-05-29T05-43-30-00-00_value-prism-valence_kupJ9P8pzj5pUJRJv44oEh.eval,accuracy,21840.0,21840.0,1138795,434872,376449,0.276144,input + output + reasoning tokens at OpenRouter metadata rates,,ValuePrism valence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.6349043715846995,8784,1721258,562176,0.125068,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen-2.5-7b-instruct/unimoral_action_prediction/2026-05-28T13-58-13-00-00_unimoral-action-prediction_aebTCf5hbXZ7ekx9iYunjr.eval,accuracy,8784.0,8784.0,2874752,52704,0,0.12026,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.6527777777777778,8784,1721258,562176,0.153177,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3.5-9b/unimoral_action_prediction/2026-05-28T16-25-31-00-00_unimoral-action-prediction_6DYGzyWDYjRo4UoGPTUHwt.eval,accuracy,8784.0,8784.0,2016810,52965,0,0.088617,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.123639627334226,1782,309888,912384,0.103634,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen-2.5-7b-instruct/unimoral_consequence_generation/2026-05-28T14-21-43-00-00_unimoral-consequence-generation_aUcx2UrMQgHeroUL6QyJy7.eval,mean,1782.0,1782.0,525709,79502,0,0.028979,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0968597096524713,1782,309888,912384,0.149253,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3.5-9b/unimoral_consequence_generation/2026-05-28T16-39-43-00-00_unimoral-consequence-generation_G4sWiXpnd4Z4i8durqrMsz.eval,mean,1782.0,1782.0,382361,62786,0,0.024712,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5730240549828178,3492,936335,1787904,0.216244,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen-2.5-7b-instruct/unimoral_factor_attribution/2026-05-28T14-16-31-00-00_unimoral-factor-attribution_YwS3KPLi9o7HPLufDjXo8r.eval,accuracy,3492.0,3492.0,1423879,22689,0,0.059224,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5750286368843069,3492,936335,1787904,0.305639,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3.5-9b/unimoral_factor_attribution/2026-05-28T16-37-02-00-00_unimoral-factor-attribution_borXM45MyrGpHe7h3MJBL8.eval,accuracy,3492.0,3492.0,1101257,27978,0,0.048247,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.5555555555555556,3492,846863,1787904,0.212665,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen-2.5-7b-instruct/unimoral_moral_typology/2026-05-28T14-11-37-00-00_unimoral-moral-typology_645NR4ToVroFS4ftEzdo2N.eval,accuracy,3492.0,3492.0,1328023,27664,0,0.055887,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.5979381443298969,3492,846863,1787904,0.30206,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3.5-9b/unimoral_moral_typology/2026-05-28T16-33-39-00-00_unimoral-moral-typology_StTrafJVevgT6AmyGmXc8E.eval,accuracy,3492.0,3492.0,1003324,29688,0,0.044586,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_relevance,accuracy,0.6236034798534799,43680,1428299,1048320,0.161964,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen-2.5-7b-instruct/value_prism_relevance/2026-05-28T14-25-26-00-00_value-prism-relevance_hFsymng7hmJQgQCWEgMjcn.eval,accuracy,43680.0,43680.0,2892928,87360,0,0.124453,input + output + reasoning tokens at OpenRouter metadata rates,,ValuePrism relevance,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,0.6730998168498169,43680,1428299,1048320,0.21438,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3.5-9b/value_prism_relevance/2026-05-28T16-42-05-00-00_value-prism-relevance_nha6HRhfRhP9gDQCnCLzAd.eval,accuracy,43680.0,43680.0,2183509,87451,0,0.100458,input + output + reasoning tokens at OpenRouter metadata rates,,ValuePrism relevance,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_valence,accuracy,0.5231684981684982,21840,954173,698880,0.108055,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen-2.5-7b-instruct/value_prism_valence/2026-05-28T15-43-28-00-00_value-prism-valence_jkj6gNkb52D5h6m9m8PHy7.eval,accuracy,21840.0,21840.0,1677415,57198,0,0.072816,input + output + reasoning tokens at OpenRouter metadata rates,,ValuePrism valence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,0.7100274725274726,21840,954173,698880,0.142999,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3.5-9b/value_prism_valence/2026-05-28T17-20-08-00-00_value-prism-valence_Xuum2B29F5gMkr3u8327gU.eval,accuracy,21840.0,21840.0,1331781,70670,0,0.063872,input + output + reasoning tokens at OpenRouter metadata rates,,ValuePrism valence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
