model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method,error,tier,task_label,evidence_status,source_repository_head,source_path
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.563573883161512,3492,936335,1787904,0.24527,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-235b-a22b-2507/unimoral_factor_attribution/2026-05-28T02-30-02-00-00_unimoral-factor-attribution_eYqhdNRMFPXVLE3QN8RpAX.eval,accuracy,3492.0,3492.0,1392524,21030,0,0.100972,input + output + reasoning tokens at OpenRouter metadata rates,,L,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1327019415653371,1782,309888,912384,0.11324,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-235b-a22b-2507/unimoral_consequence_generation/2026-05-28T02-33-13-00-00_unimoral-consequence-generation_YNKhqzu5ixqppae9MURcNg.eval,mean,1782.0,1782.0,507172,107946,0,0.046804,input + output + reasoning tokens at OpenRouter metadata rates,,L,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6344489981785064,8784,1721258,562176,0.113824,0.04,0.08,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/unimoral_action_prediction/2026-05-28T08-52-21-00-00_unimoral-action-prediction_DgWruvCr5T7VLP49EvQ2wy.eval,accuracy,8784.0,8784.0,1708074,53472,0,0.072601,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5970790378006873,3492,846863,1787904,0.176907,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/unimoral_moral_typology/2026-05-28T08-57-03-00-00_unimoral-moral-typology_iapLXbStVHp9uqRtc3oNjA.eval,accuracy,3492.0,3492.0,849104,28354,0,0.036232,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5784650630011455,3492,936335,1787904,0.180486,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/unimoral_factor_attribution/2026-05-28T08-58-12-00-00_unimoral-factor-attribution_JQxLrxfFb8LwX8cKt4moFB.eval,accuracy,3492.0,3492.0,912362,15412,0,0.037727,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0961731287001293,1782,309888,912384,0.085386,0.04,0.08,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/unimoral_consequence_generation/2026-05-28T08-59-11-00-00_unimoral-consequence-generation_8Ko3XPng7h4oJ6X37jVKZH.eval,mean,1782.0,1782.0,309648,46737,0,0.016125,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.6061355311355311,43680,1428299,1048320,0.140998,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-4b-it/value_prism_relevance/2026-05-28T09-00-12-00-00_value-prism-relevance_TuSNtUhxufSG6WWWEbXzfK.eval,accuracy,43680.0,43680.0,1829798,131050,0,0.083676,input + output + reasoning tokens at OpenRouter metadata rates,,S,ValuePrism relevance,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6606329690346083,8784,1721258,562176,0.141933,0.04,0.13,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/unimoral_action_prediction/2026-05-28T09-25-28-00-00_unimoral-action-prediction_MQWyeVnA76EjNTHjMp3Us8.eval,accuracy,8784.0,8784.0,1708119,52649,0,0.075169,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5790378006872853,3492,846863,1787904,0.266302,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/unimoral_moral_typology/2026-05-28T09-28-09-00-00_unimoral-moral-typology_2vcm4SeWABpwvLw9J8RuVS.eval,accuracy,3492.0,3492.0,849125,31652,0,0.03808,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.6005154639175257,3492,936335,1787904,0.269881,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/unimoral_factor_attribution/2026-05-28T09-29-25-00-00_unimoral-factor-attribution_HLfB7RHWEZnSUQR2yGZ94i.eval,accuracy,3492.0,3492.0,912362,23318,0,0.039526,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1003728234417946,1782,309888,912384,0.131005,0.04,0.13,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/unimoral_consequence_generation/2026-05-28T09-30-39-00-00_unimoral-consequence-generation_3ZTnWHeY3y9TLZCxzbH5vQ.eval,mean,1782.0,1782.0,309648,51443,0,0.019074,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.6757326007326008,43680,1428299,1048320,0.193414,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-12b-it/value_prism_relevance/2026-05-28T09-32-02-00-00_value-prism-relevance_LEuC7uFG8Pe9jB5HstifPQ.eval,accuracy,43680.0,43680.0,1948986,129292,0,0.094767,input + output + reasoning tokens at OpenRouter metadata rates,,M,ValuePrism relevance,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6466302367941712,8784,1721258,562176,0.227649,0.08,0.16,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/unimoral_action_prediction/2026-05-28T10-27-48-00-00_unimoral-action-prediction_2w2mWVbEMoaeCMPZces5jh.eval,accuracy,8784.0,8784.0,1610728,59889,0,0.13844,input + output + reasoning tokens at OpenRouter metadata rates,,L,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5701603665521191,3492,846863,1787904,0.353814,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/unimoral_moral_typology/2026-05-28T10-33-50-00-00_unimoral-moral-typology_ZJAuKSkEqbT9ywRdZz9noJ.eval,accuracy,3492.0,3492.0,808714,33102,0,0.069993,input + output + reasoning tokens at OpenRouter metadata rates,,L,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.6125429553264605,3492,936335,1787904,0.360971,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/unimoral_factor_attribution/2026-05-28T10-36-40-00-00_unimoral-factor-attribution_CNaf2jN7LyiDrVJHDUewR3.eval,accuracy,3492.0,3492.0,871764,24302,0,0.073629,input + output + reasoning tokens at OpenRouter metadata rates,,L,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0915317939459811,1782,309888,912384,0.170772,0.08,0.16,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/unimoral_consequence_generation/2026-05-28T10-39-25-00-00_unimoral-consequence-generation_hKTGSSL9AV487YQTkNqbMh.eval,mean,1782.0,1782.0,302948,55567,0,0.033127,input + output + reasoning tokens at OpenRouter metadata rates,,L,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.6546932234432234,43680,1428299,1048320,0.281995,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/google__gemma-3-27b-it/value_prism_relevance/2026-05-28T10-42-36-00-00_value-prism-relevance_F22Pjn6xGBB9fTdgkTtoxw.eval,accuracy,43680.0,43680.0,1724777,185436,0,0.167652,input + output + reasoning tokens at OpenRouter metadata rates,,L,ValuePrism relevance,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6247723132969034,8784,1721258,562176,0.275941,0.0509,0.335,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.2-3b-instruct/unimoral_action_prediction/2026-05-28T11-35-29-00-00_unimoral-action-prediction_ZBeRiKjZ7xp5VpNkyfe38j.eval,accuracy,8784.0,8784.0,2467336,53596,0,0.143542,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5214776632302406,3492,846863,1787904,0.642053,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.2-3b-instruct/unimoral_moral_typology/2026-05-28T11-43-32-00-00_unimoral-moral-typology_7Er3gKVTDVAYPC9RXBuctf.eval,accuracy,3492.0,3492.0,1156238,44983,0,0.073922,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.606815578465063,3492,936335,1787904,0.646607,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.2-3b-instruct/unimoral_factor_attribution/2026-05-28T11-45-36-00-00_unimoral-factor-attribution_3FiXXWtYqqQyL8wYV7hRCd.eval,accuracy,3492.0,3492.0,1251266,28328,0,0.073179,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1283357957910936,1782,309888,912384,0.321422,0.0509,0.335,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.2-3b-instruct/unimoral_consequence_generation/2026-05-28T11-47-08-00-00_unimoral-consequence-generation_6yVoDqBgXGqUrwd3doRSP6.eval,mean,1782.0,1782.0,451102,109858,0,0.059764,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.6243360805860806,43680,1428299,1048320,0.423888,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.2-3b-instruct/value_prism_relevance/2026-05-28T11-48-07-00-00_value-prism-relevance_5BQTuaA4o4yZSovAAAe7oT.eval,accuracy,43680.0,43680.0,3006813,109073,0,0.189586,input + output + reasoning tokens at OpenRouter metadata rates,,S,ValuePrism relevance,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.4649725274725275,21840,954173,698880,0.282692,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.2-3b-instruct/value_prism_valence/2026-05-28T12-08-05-00-00_value-prism-valence_Db2MFx6Dudh4vfV6AJVHYn.eval,accuracy,21840.0,21840.0,1743526,66665,0,0.111078,input + output + reasoning tokens at OpenRouter metadata rates,,S,ValuePrism valence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6287568306010929,8784,1721258,562176,0.062534,0.02,0.05,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.1-8b-instruct/unimoral_action_prediction/2026-05-28T12-32-49-00-00_unimoral-action-prediction_gdb7FdxYjGhbdzfT7Dzfx6.eval,accuracy,8784.0,8784.0,2266490,55284,0,0.048094,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5950744558991982,3492,846863,1787904,0.106332,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.1-8b-instruct/unimoral_moral_typology/2026-05-28T12-36-09-00-00_unimoral-moral-typology_bgQhYrmM7eqnDLD2bo2wNf.eval,accuracy,3492.0,3492.0,1080130,27878,0,0.022996,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.599942726231386,3492,936335,1787904,0.108122,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.1-8b-instruct/unimoral_factor_attribution/2026-05-28T12-37-41-00-00_unimoral-factor-attribution_BZBvCgd645m3gsR7CtQhhe.eval,accuracy,3492.0,3492.0,1169044,26427,0,0.024702,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1246885571986021,1782,309888,912384,0.051817,0.02,0.05,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/meta-llama__llama-3.1-8b-instruct/unimoral_consequence_generation/2026-05-28T12-39-18-00-00_unimoral-consequence-generation_Ji867nzHES3wA4gxkVoCjk.eval,mean,1782.0,1782.0,411037,66423,0,0.011542,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
